nohup: 忽略输入
Building prefix dict from the default dictionary ...
Dumping model to file cache /tmp/jieba.cache
Loading model cost 0.642 seconds.
Prefix dict has been built successfully.
[0;32m[INFO][0m Global seed set to 42
生成下联: 饥饥饥痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂痂
2024-07-07 08:10:30 - Start Training

2024-07-07 08:10:30 - Start  Epoch: 1/50

  1/564 [..............................] - ETA: 0:00<1:21 - loss: 197.0980 
  2/564 [..............................] - ETA: 0:00<1:02 - loss: 180.0049 
  3/564 [..............................] - ETA: 0:00<0:56 - loss: 166.2966 
  4/564 [..............................] - ETA: 0:00<0:53 - loss: 155.6319 
  5/564 [..............................] - ETA: 0:00<0:51 - loss: 146.0791 
  6/564 [..............................] - ETA: 0:00<0:50 - loss: 138.2200 
  7/564 [..............................] - ETA: 0:00<0:49 - loss: 131.4135 
  8/564 [..............................] - ETA: 0:00<0:48 - loss: 125.5556 
  9/564 [..............................] - ETA: 0:00<0:48 - loss: 120.3751 
 10/564 [..............................] - ETA: 0:00<0:47 - loss: 115.6494 
 11/564 [..............................] - ETA: 0:00<0:47 - loss: 111.4256 
 12/564 [..............................] - ETA: 0:01<0:46 - loss: 107.5465 
 13/564 [..............................] - ETA: 0:01<0:46 - loss: 103.9647 
 14/564 [..............................] - ETA: 0:01<0:45 - loss: 100.6737 
 15/564 [..............................] - ETA: 0:01<0:45 - loss: 97.7005  
 16/564 [..............................] - ETA: 0:01<0:45 - loss: 94.8693 
 17/564 [..............................] - ETA: 0:01<0:45 - loss: 92.2202 
 18/564 [..............................] - ETA: 0:01<0:45 - loss: 89.8236 
 19/564 [>.............................] - ETA: 0:01<0:44 - loss: 87.5456 
 20/564 [>.............................] - ETA: 0:01<0:44 - loss: 85.4132 
 21/564 [>.............................] - ETA: 0:01<0:44 - loss: 83.4222 
 22/564 [>.............................] - ETA: 0:01<0:44 - loss: 81.5705 
 23/564 [>.............................] - ETA: 0:01<0:44 - loss: 79.7998 
 24/564 [>.............................] - ETA: 0:01<0:44 - loss: 78.1585 
 25/564 [>.............................] - ETA: 0:02<0:44 - loss: 76.5811 
 26/564 [>.............................] - ETA: 0:02<0:43 - loss: 75.1007 
 27/564 [>.............................] - ETA: 0:02<0:43 - loss: 73.7037 
 28/564 [>.............................] - ETA: 0:02<0:43 - loss: 72.3756 
 29/564 [>.............................] - ETA: 0:02<0:43 - loss: 71.1059 
 30/564 [>.............................] - ETA: 0:02<0:43 - loss: 69.9064 
 31/564 [>.............................] - ETA: 0:02<0:43 - loss: 68.7683 
 32/564 [>.............................] - ETA: 0:02<0:43 - loss: 67.6488 
 33/564 [>.............................] - ETA: 0:02<0:43 - loss: 66.5880 
 34/564 [>.............................] - ETA: 0:02<0:42 - loss: 65.5773 
 35/564 [>.............................] - ETA: 0:02<0:42 - loss: 64.5968 
 36/564 [>.............................] - ETA: 0:02<0:42 - loss: 63.6722 
 37/564 [>.............................] - ETA: 0:02<0:42 - loss: 62.7709 
 38/564 [=>............................] - ETA: 0:03<0:42 - loss: 61.8972 
 39/564 [=>............................] - ETA: 0:03<0:42 - loss: 61.0796 
 40/564 [=>............................] - ETA: 0:03<0:42 - loss: 60.2878 
 41/564 [=>............................] - ETA: 0:03<0:42 - loss: 59.5151 
 42/564 [=>............................] - ETA: 0:03<0:41 - loss: 58.7538 
 43/564 [=>............................] - ETA: 0:03<0:41 - loss: 58.0144 
 44/564 [=>............................] - ETA: 0:03<0:41 - loss: 57.3034 
 45/564 [=>............................] - ETA: 0:03<0:41 - loss: 56.6139 
 46/564 [=>............................] - ETA: 0:03<0:41 - loss: 55.9427 
 47/564 [=>............................] - ETA: 0:03<0:41 - loss: 55.2992 
 48/564 [=>............................] - ETA: 0:03<0:41 - loss: 54.6711 
 49/564 [=>............................] - ETA: 0:03<0:41 - loss: 54.0666 
