id,survey_type,province,city,county,gender,nationality,religion,religion_freq,edu,edu_status,income,political,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,work_status,work_yr,work_type,work_manage,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,son,daughter,minor_child,marital,s_edu,s_political,s_hukou,s_income,s_work_exper,s_work_status,s_work_type,f_edu,f_political,f_work_14,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,survey_year,survey_hour,survey_week_day,age,has_edu_yer,edu_age,s_age,f_age,m_age,marital_1st_age,marital_now_age,if_exp_inc
1,1,12,32,59,1,1.0,1.0,1.0,11.0,4.0,20000.0,1.0,45.0,0,1,0,0,0,0,0,0,0,176,155,3.0,2.0,5.0,5,2.0,4.0,2.0,5.0,5.0,4.0,3.0,1.0,4.0,3.0,1.0,2.0,3.0,4.0,1.0,4.0,5.0,4.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1,3.0,30.0,1.0,2.0,1.0,1.0,1.0,2.0,60000.0,2.0,2.0,1.0,2.0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,3,6.0,1.0,5.0,40000.0,5.0,-1.0,-1.0,4.0,4.0,1.0,4.0,1.0,1.0,3.0,2.0,4.0,3.0,50000.0,4.0,2.0,-1.0,-1.0,5.0,3.0,2.0,3.0,4.0,3.0,-1.0,4.0,1.0,4.0,50.0,60.0,50.0,50.0,30.0,30.0,50.0,50.0,50.0,2015,14,1,56,0,0.0,57.0,0.0,0.0,25.0,25.0,0
2,2,18,52,85,1,1.0,1.0,1.0,12.0,4.0,20000.0,1.0,110.0,0,0,0,0,1,0,0,0,0,170,110,5.0,4.0,3.0,1,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,4.0,5.0,1.0,2.0,4.0,3.0,6.0,2.0,1.0,3.0,6.0,4.0,8.0,5.0,1,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,40000.0,3.0,4.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0.0,0.0,-1.0,1,-1.0,-1.0,-1.0,30662.25072738773,-1.0,-1.0,-1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,50000.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,90.0,70.0,70.0,80.0,85.0,70.0,90.0,60.0,60.0,2015,15,1,23,1,21.0,0.0,43.0,42.0,0.0,0.0,0
3,2,29,83,126,2,1.0,0.0,3.0,4.0,4.0,2000.0,1.0,120.0,0,1,1,0,0,0,0,0,0,160,122,4.0,4.0,5.0,1,1.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,5.0,2.0,4.0,5.0,4.0,6.0,3.0,2,-1.0,15.328795811518324,-1.0,-1.0,1.0,1.0,2.0,2.0,8000.0,3.0,3.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,3,3.0,1.0,1.0,6000.0,3.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,80000.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-1.0,3.0,1.0,4.0,90.0,80.0,75.0,79.0,80.0,90.0,90.0,90.0,75.0,2015,13,1,48,0,0.0,47.0,0.0,0.0,23.0,23.0,0
4,2,10,28,51,2,1.0,1.0,1.0,3.0,4.0,6420.0,1.0,78.0,0,0,0,1,0,0,0,0,0,163,170,4.0,4.0,4.0,1,2.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,4.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,2.0,4.0,4.0,1.0,6.0,1.0,4.0,5.0,5.0,7.0,2.0,4,-1.0,15.328795811518324,-1.0,-1.0,2.0,2.0,2.0,2.0,12000.0,3.0,3.0,1.0,1.0,0,1,0,0,0,0,0,0,0,1.0,4.0,0.0,7,-1.0,-1.0,-1.0,30662.25072738773,-1.0,-1.0,-1.0,14.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,10000.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,100.0,90.0,70.0,80.0,80.0,90.0,90.0,80.0,80.0,2015,17,5,72,1,16.0,0.0,0.0,0.0,17.0,0.0,0
5,1,7,18,36,2,1.0,1.0,1.0,12.0,1.0,32805.33185371032,2.0,70.0,0,0,0,0,1,0,0,0,0,165,110,5.0,5.0,3.0,2,3.0,1.0,3.0,4.0,2.0,5.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,2.0,5.0,5.0,1.0,4.0,3.0,4.0,7.0,5.0,3.0,2.0,1.0,1.0,1.0,4.0,6,-1.0,15.328795811518324,-1.0,-1.0,1.0,2.0,2.0,2.0,72466.43897578958,4.0,3.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0.0,0.0,-1.0,1,-1.0,-1.0,-1.0,30662.25072738773,-1.0,-1.0,-1.0,6.0,1.0,10.0,4.0,1.0,15.0,3.0,2.0,3.0,-1.0,200000.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2015,9,0,21,1,20.0,0.0,45.0,43.0,0.0,0.0,0
6,2,18,52,86,1,1.0,1.0,1.0,2.0,-1.0,5000.0,1.0,300.0,0,1,1,0,0,0,0,0,0,172,140,5.0,5.0,4.0,1,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,8.0,1.0,8.0,1.0,4,-1.0,15.328795811518324,-1.0,-1.0,1.0,1.0,2.0,2.0,5000.0,2.0,3.0,1.0,2.0,0,1,0,0,0,0,0,0,0,2.0,1.0,0.0,3,1.0,1.0,1.0,0.0,4.0,-1.0,-1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,10000.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,90.0,90.0,90.0,90.0,90.0,90.0,80.0,90.0,90.0,2015,12,5,69,0,0.0,66.0,0.0,98.0,42.0,42.0,0
7,1,10,27,49,1,1.0,1.0,1.0,4.0,4.0,32805.33185371032,4.0,89.0,0,1,0,0,0,0,0,0,0,160,120,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,3.0,1.0,-1.0,-1.0,1.0,4.0,2.0,2.0,3.0,2.0,1,3.0,30.0,1.0,3.0,1.0,1.0,2.0,2.0,72466.43897578958,3.0,2.0,1.0,2.0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,3,4.0,1.0,2.0,30662.25072738773,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,15.0,3.0,2.0,4.0,3.0,50000.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,80.0,80.0,50.0,70.0,60.0,50.0,60.0,80.0,80.0,2015,14,6,52,1,16.0,52.0,95.0,110.0,24.0,24.0,0
8,1,11,31,54,1,1.0,0.0,8.0,4.0,4.0,32805.33185371032,1.0,130.0,0,0,1,0,0,0,0,0,0,176,140,3.0,5.0,5.0,2,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,5,-1.0,15.328795811518324,-1.0,-1.0,1.0,1.0,2.0,2.0,72466.43897578958,2.0,3.0,1.0,2.0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,3,4.0,1.0,2.0,30662.25072738773,4.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,2.0,4.0,-1.0,72466.43897578958,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,70.0,70.0,70.0,70.0,70.0,70.0,80.0,70.0,70.0,2015,13,6,56,0,0.0,56.0,0.0,0.0,20.0,20.0,0
9,2,28,81,122,1,1.0,1.0,1.0,3.0,4.0,1600.0,1.0,36.0,0,1,0,0,0,0,0,0,0,175,95,2.0,2.0,2.0,1,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,1.0,5.0,6.0,2.0,4.0,3.0,3.0,5.0,2.0,2,-1.0,15.328795811518324,-1.0,-1.0,1.0,1.0,2.0,2.0,1600.0,1.0,2.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0.0,0.0,-1.0,1,-1.0,-1.0,-1.0,30662.25072738773,-1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,5000.0,3.0,2.0,2.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,82.0,70.0,60.0,82.0,84.0,85.0,86.0,87.0,85.0,2015,9,5,63,1,12.0,0.0,91.0,89.0,0.0,0.0,0
10,2,24,70,110,1,1.0,1.0,1.0,3.0,2.0,60000.0,1.0,80.0,0,0,0,0,1,0,0,0,0,172,140,4.0,5.0,4.0,1,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,2.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,3.0,5,-1.0,15.328795811518324,-1.0,-1.0,1.0,2.0,2.0,2.0,60000.0,5.0,3.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0.0,2.0,2.0,3,7.0,1.0,1.0,0.0,5.0,-1.0,-1.0,14.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,120000.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,-1.0,3.0,2.0,5.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,2015,19,0,30,0,0.0,24.0,63.0,53.0,26.0,26.0,0
